"KRONOS_BADGE_NUMBER","EMPLOYEE_ID","BOROUGH_NAME","DEPARTMENT_NAME","WORK_LOC_ID","LOCATION_NAME","NYC_TITLE"
385365,1701998,BROOKLYN,Brooklyn Property Management Department,"0670",Bay View,Caretaker
385368,1426596,BRONX,Bronx Property Management Department,"0570",Mill Brook Houses,Caretaker
385370,1881917,BROOKLYN,Brooklyn Property Management Department,"0202",Red Hook East,Caretaker
385381,1882492,MANHATTAN,Manhattan Property Management Department,"0387",Wise Towers Group,Maintenance Worker
385385,1884642,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385389,1884628,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385390,1884598,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385391,1884605,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385403,1095633,BROOKLYN,Brooklyn Property Management Department,"0514",Marcy Houses,Caretaker
385412,1668963,MANHATTAN,Manhattan Property Management Department,"0221",LaGuardia Houses,Caretaker
385415,1884565,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385416,1143186,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385433,1614131,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385417,1849722,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385418,1435365,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385431,1643279,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385376,1882088,STATEN ISLAND,Queens-SI Property Mgmt Dept,"0241",Richmond Terrace,Caretaker
385384,1346555,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385386,1884678,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385387,1267405,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385388,1119957,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385398,1752375,BROOKLYN,Brooklyn Property Management Department,"0227",Roosevelt,Caretaker
385409,1882710,MANHATTAN,Manhattan Property Management Department,"0650",Frederick E. Samuel Apts,Housing Assistant
385402,1836651,MANHATTAN,Manhattan Property Management Department,"0346",Jackie Robinson,Caretaker
385407,693571,QUEENS,Queens-SI Property Mgmt Dept,"0122",Queens-Staten Island Borough Management,Maintenance Worker
385411,1882471,STATEN ISLAND,Queens-SI Property Mgmt Dept,"0583",Todt Hill,Caretaker
385414,1884562,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385426,1884670,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
