"FCPC"
"AIRCONDITIONING-NEEDSCLEANING"
"BACKBOARDS-GRAFFITI"
"BANK-GRAFFITI"
"BANK-NEEDSCLEANING"
"BASKETBALLCOURTS-DEBRIS"
"BASKETBALLCOURTS-GRAFFITI"
"BBQAREA-DEBRIS"
"BENCHES-GRAFFITI"
"BULLETINBOARDS-GRAFFITI"
"BULLETINBOARDS-NEEDSCLEANING"
"CANOPY-DEBRIS"
"CEILING-GRAFFITI"
"CEILING-NEEDSCLEANING"
"COMPACTOR-NEEDSCLEANING"
"CONCRETETABLES-GRAFFITI"
"CONCRETETABLES-NEEDSCLEANING"
"DEBRISSPILL-BROKENGLASS"
"DEBRISSPILL-DEBRIS"
"DEBRISSPILL-FOLLOWUP"
"DEBRISSPILL-GARBAGE"
"DEBRISSPILL-GLASSONGROUND"
"DEBRISSPILL-NEEDSCLEANING"
"DEBRISSPILL-PHASDEBRISSPILL"
"DEBRISSPILL-RAGS"
"DEBRISSPILL-SLIPPERYWET"
"DEBRISSPILL-SPILL"
"DOORDIAMONDPLATED-GRAFFITI"
"DOORDIAMONDPLATED-NEEDSCLEANING"
"DOORMAILBOX-GRAFFITI"
"DOORMAILBOX-NEEDSCLEANING"
"DOORMAINENTR-GRAFFITI"
"DOORMAINENTR-NEEDSCLEANING"
"DOORPUBLICSPACE-GRAFFITI"
"DOORPUBLICSPACE-NEEDSCLEANING"
"DOORREAREXIT-GRAFFITI"
"DOORREAREXIT-NEEDSCLEANING"
"DOORROLLDOWN-NEEDSCLEANING"
"DOORROOF-GRAFFITI"
"DOORROOF-NEEDSCLEANING"
"DOORSTAIRHALL-GRAFFITI"
"DOORSTAIRHALL-NEEDSCLEANING"
"ELEVCLEANING-GRAFFITI"
"ELEVCLEANING-NEEDSCLEANING"
"EXHAUSTFAN-NEEDSCLEANING"
"EXITSIGN-NEEDSCLEANING"
"EXTERIORCOMPACTOR-GRAFFITI"
"EXTERIORCOMPACTOR-NEEDSCLEANING"
"FACADE-GRAFFITI"
"FACADE-NEEDSCLEANING"
"FENCES-GRAFFITI"
"FLOOR-NEEDSCLEANING"
"FLOOR-SPILL"
"FOUNDATION-GRAFFITI"
"FOUNDATION-NEEDSCLEANING"
"GARDENCOMPOUND-GRAFFITI"
"GARDENCOMPOUND-NEEDSCLEANING"
"GRAFFITIPRB-FOLLOWUP"
"GRAFFITIPRB-PHASGRAFFITI"
"HOPPER-FOLLOWUP"
"HOPPER-HOPPERDOORDML"
"HOPPER-HOPPERHANDLEDML"
"HOPPER-HOPPERJAM"
"HOPPER-HOPPERPANDML"
"HOPPER-NOTSELFLATCH"
"HOPPER-PHASHOPPER"
"HVAC-NEEDSCLEANING"
"INTERCOM-GRAFFITI"
"LAWN-DEBRIS"
"LIGHT-NEEDSCLEANING"
"LIGHTEMERGENCY-GRAFFITI"
"LIGHTEMERGENCY-NEEDSCLEANING"
"MAILBOXREPAIRS-NEEDSCLEANING"
"MILDEWCONDITION-NEEDSCLEANING"
"MIRRORS-GRAFFITI"
"MIRRORS-NEEDSCLEANING"
"PARKINGLOT-DEBRIS"
"PARKINGLOT-GRAFFITI"
"PARKINGLOT-NEEDSCLEANING"
"PAVEMENTINTERIOR-DEBRIS"
"PAVEMENTINTERIOR-GRAFFITI"
"PAVEMENTPERIPHERAL-DEBRIS"
"PAVEMENTPERIPHERAL-GRAFFITI"
"PIPES-GRAFFITI"
"PLAYAREA-DEBRIS"
"PLAYAREA-GRAFFITI"
"PLAYAREA-NEEDSCLEANING"
"PLAYEQUIPMENT-GRAFFITI"
"PLAYGROUNDPAVEMENT-DEBRIS"
"PLAYGROUNDPAVEMENT-GRAFFITI"
"RAILINGS-GRAFFITI"
"RAILINGS-NEEDSCLEANING"
"RAMP-DEBRIS"
"RAMP-GRAFFITI"
"RANGEHOOD-NEEDSCLEANING"
"REGULATEDWASTE-BOXDISPOSAL"
"REGULATEDWASTE-EMRGCLEANUP"
"REGULATEDWASTE-EMRGWIPEDOWN"
"REGULATEDWASTE-FOLLOWUP"
"REGULATEDWASTE-NORMCLEANUP"
"REGULATEDWASTE-SHARSBOXPICKUP"
"ROOFFAN-GRAFFITI"
"ROOFFAN-NEEDSCLEANING"
"ROOFTANK-GRAFFITI"
"ROOFTANK-NEEDSCLEANING"
"ROOFTOP-DEBRIS"
"ROOFTOP-GRAFFITI"
"ROOFTOP-NEEDSCLEANING"
"ROOMSIGNS-GRAFFITI"
"ROOMSIGNS-NEEDSCLEANING"
"SHRUBS-DEBRIS"
"SHRUBS-NEEDSCLEANING"
"SIDEWALKEXTERIOR-DEBRIS"
"SIDEWALKEXTERIOR-GRAFFITI"
"SIDEWALKEXTERIOR-TRIPHAZARD"
"SIDEWALKINTERIOR-DEBRIS"
"SIDEWALKINTERIOR-GRAFFITI"
"SIDEWALKINTERIOR-TRIPHAZARD"
"SIGNAGE-GRAFFITI"
"SIGNAGE-NEEDSCLEANING"
"SINK-NEEDSCLEANING"
"STAIRS-NEEDSCLEANING"
"TRASHBULKCOMPOUND-GRAFFITI"
"TRASHBULKCOMPOUND-NEEDSCLEANING"
"TRASHRECEPTICLE-TRASHRECEPTICLEWWP"
"TREES-DEBRIS"
"TREES-NEEDSCLEANING"
"WALLS-NEEDSCLEANING"
"WALLS-NEEDSGRAFFITIREMOVAL"
"WATERFOUNTAIN-NEEDSCLEANING"
"WINDOWLINTEL-NEEDSCLEANING"
"WINDOWSILL-NEEDSCLEANING"
"WINDOWWELL-NEEDSCLEANING"
